Type,Time,x,y,z,Action
Gyro,1.359264,-38.770195,-29.93965,-16.190659,Neutral
Accel,1.415729,-2274.0,-4117.0,5939.0,Neutral
Gyro,1.415729,-37.424351,-29.646173,-17.286011,Neutral
Accel,1.415729,-1774.0,-2533.0,5981.0,Neutral
Gyro,1.415729,-36.412498,-29.077204,-18.481575,Neutral
Accel,1.432798,-1791.0,248.0,6581.0,Neutral
Gyro,1.432798,-34.657833,-28.660156,-19.187258,Neutral
Accel,1.459309,-2300.0,2753.0,7197.0,Neutral
Gyro,1.459309,-33.371861,-27.966076,-20.288427,Neutral
Accel,1.491084,-3082.0,4897.0,8203.0,Neutral
Gyro,1.491084,-31.334511,-27.520185,-20.791231,Neutral
Accel,1.508622,-3529.0,5225.0,9044.0,Neutral
Gyro,1.508622,-30.01432,-26.982172,-20.77923,Neutral
Accel,1.542374,-4058.0,4380.0,9938.0,Neutral
Gyro,1.542374,-28.076965,-26.715309,-20.323702,Neutral
Accel,1.558884,-4437.0,3409.0,10120.0,Neutral
Gyro,1.558884,-26.723476,-26.234434,-19.275629,Neutral
Accel,1.593638,-4642.0,2548.0,10746.0,Neutral
Gyro,1.593638,-24.737474,-25.750402,-18.723482,Neutral
Accel,1.636177,-4122.0,1619.0,11759.0,Neutral
Gyro,1.636177,-23.862631,-24.945242,-19.201759,Neutral
Accel,1.636177,-5416.0,-2279.0,11498.0,Neutral
Gyro,1.636177,-23.442726,-24.463318,-20.098482,Neutral
Accel,1.668587,-6998.0,-5276.0,11242.0,Neutral
Gyro,1.668587,-23.623245,-23.800257,-20.596575,Neutral
Accel,1.682772,-6301.0,-6265.0,11519.0,Neutral
Gyro,1.682772,-24.117283,-23.621599,-20.434008,Neutral
Accel,1.705467,-5154.0,-4086.0,11696.0,Neutral
Gyro,1.705467,-24.401834,-23.939634,-20.296387,Neutral
Accel,1.7386,-4068.0,-325.0,11109.0,Neutral
Gyro,1.7386,-24.845684,-24.298204,-20.323521,Neutral
Accel,1.75517,-3272.0,1551.0,10868.0,Neutral
Gyro,1.75517,-25.148808,-24.781115,-19.860989,Neutral
Accel,1.787577,-2412.0,4295.0,10307.0,Neutral
Gyro,1.787577,-25.691181,-25.090708,-19.185658,Neutral
Accel,1.804606,-1860.0,4978.0,9997.0,Neutral
Gyro,1.804606,-26.088591,-25.555683,-17.827097,Neutral
Accel,1.841166,-1242.0,3761.0,9286.0,Neutral
Gyro,1.841166,-26.731058,-25.843925,-16.748663,Neutral
Accel,1.866263,-819.0,2659.0,8717.0,Neutral
Gyro,1.866263,-27.170454,-26.229897,-15.128824,Neutral
Accel,1.878813,-735.0,1464.0,7758.0,Neutral
Gyro,1.888687,-27.579145,-26.387835,-14.32113,Neutral
Accel,1.905755,-631.0,154.0,7147.0,Neutral
Gyro,1.905755,-27.683107,-26.413658,-13.817784,Neutral
Accel,1.940311,-398.0,-1575.0,6527.0,Neutral
Gyro,1.940311,-27.714376,-26.348722,-14.011156,Neutral
Accel,1.956556,101.0,-2970.0,5895.0,Neutral
Gyro,1.956556,-27.499126,-26.271372,-15.077792,Neutral
Accel,1.992351,156.0,-7136.0,5549.0,Neutral
Gyro,1.992351,-26.959248,-26.166164,-16.074928,Neutral
Accel,2.007383,-757.0,-11533.0,5140.0,Neutral
Gyro,2.007383,-27.088787,-25.82736,-18.030287,Neutral
Accel,2.045685,-276.0,-13039.0,4060.0,Neutral
Gyro,2.045685,-27.432276,-25.767515,-19.687002,Neutral
Accel,2.060658,808.0,-10745.0,3908.0,Neutral
Gyro,2.060658,-27.147907,-25.87569,-21.944363,Neutral
Accel,2.085452,2321.0,-6256.0,4360.0,Neutral
Gyro,2.085452,-26.325603,-25.728512,-22.817976,Neutral
Accel,2.102889,1762.0,-2919.0,4705.0,Neutral
Gyro,2.12061,-25.420908,-25.303722,-22.762234,Neutral
Accel,2.13726,1850.0,985.0,4580.0,Neutral
Gyro,2.13726,-23.419159,-24.838623,-21.892492,Neutral
Accel,2.154706,735.0,3847.0,4365.0,Neutral
Gyro,2.154706,-21.825001,-23.716621,-20.151314,Neutral
Accel,2.186706,-594.0,10915.0,4508.0,Neutral
Gyro,2.186706,-18.999796,-22.704304,-19.468552,Neutral
Accel,2.203558,-2863.0,15777.0,5342.0,Neutral
Gyro,2.219697,-16.898973,-20.908627,-19.526268,Neutral
Accel,2.255712,-3991.0,21920.0,6894.0,Neutral
Gyro,2.255712,-14.360418,-19.668957,-19.876141,Neutral
