Type,Time,x,y,z,Action
Accel,1.84034,1212.000000,-20930.000000,-1920.000000,Neutral
Gyro,1.84034,-96.882957,-35.676464,-7.691495,Neutral
Accel,1.880695,687.000000,-14391.000000,-1491.000000,Neutral
Gyro,1.880695,-94.492371,-34.848282,-9.384531,Neutral
Accel,1.896632,1362.000000,-6889.000000,263.000000,Neutral
Gyro,1.896632,-92.533699,-33.828526,-13.265296,Neutral
Accel,1.925293,1470.000000,531.000000,2677.000000,Neutral
Gyro,1.925293,-90.439095,-33.375534,-15.315319,Neutral
Accel,1.938258,1102.000000,3800.000000,4439.000000,Neutral
Gyro,1.956844,-89.765953,-33.058739,-16.032677,Neutral
Accel,1.972756,1333.000000,6801.000000,6339.000000,Neutral
Gyro,1.972756,-89.753784,-33.160320,-15.145962,Neutral
Accel,1.989933,852.000000,6875.000000,6848.000000,Neutral
Gyro,1.989933,-90.237259,-33.592175,-12.257729,Neutral
Accel,2.022516,836.000000,8306.000000,7755.000000,Neutral
Gyro,2.022516,-91.174469,-33.863621,-9.684955,Neutral
Accel,2.040396,515.000000,8323.000000,7710.000000,Neutral
Gyro,2.040396,-91.810455,-34.338207,-6.075756,Neutral
Accel,2.097445,337.000000,5264.000000,7018.000000,Neutral
Gyro,2.097445,-92.982277,-34.696514,-4.095542,Neutral
Accel,2.097445,663.000000,3045.000000,6399.000000,Neutral
Gyro,2.097445,-93.793396,-35.275803,-2.097461,Neutral
Accel,2.119946,1085.000000,-320.000000,5125.000000,Neutral
Gyro,2.119946,-94.417511,-35.628952,-1.640513,Neutral
Accel,2.149524,2310.000000,-2990.000000,4539.000000,Neutral
Gyro,2.149524,-94.314995,-36.149574,-2.008301,Neutral
Accel,2.168042,4168.000000,-7796.000000,4022.000000,Neutral
Gyro,2.168042,-93.886719,-36.584503,-2.796683,Neutral
Accel,2.185189,4138.000000,-10825.000000,3388.000000,Neutral
Gyro,2.202397,-93.902611,-37.045292,-4.413182,Neutral
Accel,2.219254,3627.000000,-15157.000000,2273.000000,Neutral
Gyro,2.219254,-94.415237,-37.122814,-5.211759,Neutral
Accel,2.235811,2616.000000,-17824.000000,1925.000000,Neutral
Gyro,2.254188,-94.966637,-37.099762,-4.736975,Neutral
Accel,2.269669,2690.000000,-18500.000000,2317.000000,Neutral
Gyro,2.269669,-95.487396,-37.057362,-3.294762,Neutral
Accel,2.306625,3759.000000,-13651.000000,3538.000000,Neutral
Gyro,2.306625,-95.052269,-37.168194,-1.257086,Neutral
Accel,2.323577,3935.000000,-2994.000000,5300.000000,Neutral
Gyro,2.323577,-94.105042,-37.247276,-1.632542,Neutral
Accel,2.349483,3664.000000,1124.000000,5118.000000,Neutral
Gyro,2.349483,-93.547867,-36.489231,-3.170083,Neutral
Accel,2.367377,2527.000000,5615.000000,5498.000000,Neutral
Gyro,2.367377,-92.843567,-35.424332,-3.638335,Neutral
Accel,2.400963,1591.000000,7897.000000,5625.000000,Neutral
Gyro,2.400963,-92.546722,-33.596535,-3.772340,Neutral
Accel,2.418346,1373.000000,10422.000000,6570.000000,Neutral
