Type,Time,x,y,z,Action
Accel,3.619619,-2841.000000,3956.000000,4422.000000,Neutral
Gyro,3.619619,-10.323599,-18.265375,-12.927304,Neutral
Accel,3.652441,-2549.000000,3794.000000,3835.000000,Neutral
Gyro,3.652441,-10.426129,-17.390560,-12.720239,Neutral
Accel,3.668697,-3351.000000,2395.000000,3495.000000,Neutral
Gyro,3.668697,-10.455171,-16.820124,-11.853845,Neutral
Accel,3.684979,-4229.000000,1869.000000,3453.000000,Neutral
Gyro,3.720919,-10.498430,-15.973927,-10.740711,Neutral
Accel,3.720919,-4013.000000,1641.000000,3254.000000,Neutral
Gyro,3.720919,-10.473621,-15.618639,-10.625219,Neutral
Accel,3.743184,-4822.000000,-442.000000,2641.000000,Neutral
Gyro,3.743184,-10.305084,-15.397433,-10.949471,Neutral
Accel,3.763503,-5075.000000,-2913.000000,2649.000000,Neutral
Gyro,3.763503,-10.232010,-15.343199,-11.178320,Neutral
Accel,3.796132,-5424.000000,-4220.000000,2882.000000,Neutral
Gyro,3.796132,-10.257521,-15.758200,-11.768584,Neutral
Accel,3.812757,-5205.000000,-7064.000000,2347.000000,Neutral
Gyro,3.828979,-10.672835,-16.373936,-12.347925,Neutral
Accel,3.845174,-4567.000000,-9144.000000,1098.000000,Neutral
Gyro,3.845174,-10.969146,-17.566486,-12.994104,Neutral
Accel,3.861445,-3752.000000,-10005.000000,193.000000,Neutral
Gyro,3.875851,-10.928295,-18.186502,-13.307166,Neutral
Accel,3.888805,-3709.000000,-8405.000000,536.000000,Neutral
Gyro,3.888805,-10.997637,-18.816612,-14.317212,Neutral
Accel,3.91949,-1903.000000,-6368.000000,-21.000000,Neutral
Gyro,3.91949,-11.232673,-19.298162,-15.159413,Neutral
Accel,3.932919,-1753.000000,-4053.000000,-84.000000,Neutral
Gyro,3.945867,-11.237659,-19.928501,-15.756650,Neutral
Accel,3.960785,-2611.000000,1209.000000,994.000000,Neutral
Gyro,3.978437,-10.917844,-19.945499,-15.876966,Neutral
Accel,3.995174,-3104.000000,5007.000000,2496.000000,Neutral
Gyro,3.995174,-10.588908,-19.727158,-16.344227,Neutral
Accel,4.011683,-3267.000000,8820.000000,4821.000000,Neutral
Gyro,4.028192,-9.913877,-19.684782,-16.657982,Neutral
Accel,4.044429,-2635.000000,10810.000000,6260.000000,Neutral
Gyro,4.044429,-9.197265,-19.811182,-16.634422,Neutral
Accel,4.060596,-672.000000,11359.000000,9316.000000,Neutral
Gyro,4.077075,-7.727155,-19.821011,-16.376137,Neutral
Accel,4.093581,886.000000,7611.000000,10828.000000,Neutral
Gyro,4.093581,-6.741489,-19.486584,-15.703286,Neutral
Accel,4.122148,3900.000000,2453.000000,12670.000000,Neutral
Gyro,4.122148,-5.686256,-19.083426,-15.276839,Neutral
Accel,4.14628,568.000000,-4480.000000,13919.000000,Neutral
Gyro,4.14628,-6.084685,-18.279844,-16.165983,Neutral
Accel,4.178669,-5467.000000,-15011.000000,13965.000000,Neutral
Gyro,4.178669,-8.839413,-17.860458,-17.220163,Neutral
Accel,4.195579,-889.000000,-14229.000000,13798.000000,Neutral
Gyro,4.195579,-9.471348,-18.229015,-17.373484,Neutral
Accel,4.212284,3843.000000,-7693.000000,12738.000000,Neutral
Gyro,4.228918,-7.158805,-18.583588,-16.892653,Neutral
Accel,4.244106,2073.000000,-6604.000000,10267.000000,Neutral
Gyro,4.244106,-5.895527,-17.408361,-16.238052,Neutral
