Type,Time,x,y,z,Action
Gyro,3.623648,-179.093918,0.193852,-6.332276,Neutral
Accel,3.656236,-2260.000000,-3705.000000,2799.000000,Neutral
Gyro,3.656236,-178.270065,-2.091510,-3.951715,Neutral
Accel,3.672895,-6442.000000,-1474.000000,4948.000000,Neutral
Gyro,3.672895,-177.154160,-5.681102,-2.972031,Neutral
Accel,3.704644,-7390.000000,1164.000000,8062.000000,Neutral
Gyro,3.704644,-174.503433,-7.639390,-4.437013,Neutral
Accel,3.717254,-5623.000000,2507.000000,9602.000000,Neutral
Gyro,3.724036,-172.049454,-10.595450,-6.815733,Neutral
Accel,3.745805,-7447.000000,-862.000000,12118.000000,Neutral
Gyro,3.745805,-168.139816,-12.221957,-7.911649,Neutral
Accel,3.778537,-7822.000000,633.000000,14176.000000,Neutral
Gyro,3.778537,-165.492615,-13.272168,-9.660752,Neutral
Accel,3.795688,-5051.000000,5187.000000,17156.000000,Neutral
Gyro,3.795688,-160.742416,-13.376497,-11.652142,Neutral
Accel,3.827798,-1162.000000,4974.000000,17350.000000,Neutral
Gyro,3.827798,-157.750290,-13.215924,-14.859692,Neutral
Accel,3.844192,1697.000000,-7746.000000,17385.000000,Neutral
Gyro,3.8604,-156.179810,-12.805956,-15.672503,Neutral
Accel,3.8768,-1843.000000,-10026.000000,17300.000000,Neutral
Gyro,3.8768,-157.268250,-11.821692,-15.309593,Neutral
Accel,3.912406,10.000000,-5563.000000,16460.000000,Neutral
Gyro,3.912406,-157.605255,-10.753650,-15.305084,Neutral
Accel,3.936214,1904.000000,-1854.000000,16031.000000,Neutral
Gyro,3.936214,-156.940231,-9.212403,-15.814280,Neutral
Accel,3.944113,1118.000000,-27.000000,14819.000000,Neutral
Gyro,3.959324,-156.933014,-8.319297,-15.795797,Neutral
Accel,3.975957,-157.000000,1546.000000,13472.000000,Neutral
Gyro,3.975957,-157.846085,-7.252444,-15.100732,Neutral
Accel,3.992517,-1910.000000,3824.000000,11524.000000,Neutral
Gyro,4.008689,-159.565247,-6.884257,-14.338370,Neutral
Accel,4.025039,-3144.000000,3896.000000,10050.000000,Neutral
Gyro,4.025039,-160.471359,-6.487790,-12.339693,Neutral
Accel,4.057721,-4347.000000,3654.000000,8808.000000,Neutral
Gyro,4.057721,-161.557968,-6.217785,-10.694022,Neutral
Accel,4.074188,-4758.000000,4876.000000,8343.000000,Neutral
Gyro,4.074188,-162.402985,-5.997257,-8.976388,Neutral
Accel,4.126131,-4812.000000,4375.000000,6981.000000,Neutral
Gyro,4.126131,-163.549149,-5.919075,-8.441036,Neutral
Accel,4.126131,-5152.000000,3890.000000,6288.000000,Neutral
Gyro,4.126131,-164.258316,-5.546757,-7.728042,Neutral
Accel,4.149889,-4863.000000,-302.000000,5132.000000,Neutral
Gyro,4.149889,-165.266205,-5.226140,-7.272933,Neutral
Accel,4.169569,-2921.000000,-3051.000000,4009.000000,Neutral
Gyro,4.169569,-165.567657,-4.833985,-6.492785,Neutral
Accel,4.204198,-1423.000000,-2016.000000,5696.000000,Neutral
Gyro,4.204198,-164.939346,-4.495559,-6.452225,Neutral
Accel,4.220846,249.000000,-1949.000000,7299.000000,Neutral
Gyro,4.220846,-164.264847,-3.721312,-7.834038,Neutral
Accel,4.244548,-665.000000,-8827.000000,7795.000000,Neutral
Gyro,4.244548,-164.710983,-3.193952,-8.835638,Neutral
Accel,4.277808,-1219.000000,-12244.000000,6783.000000,Neutral
Gyro,4.277808,-166.167480,-2.577803,-8.906064,Neutral
Accel,4.293829,-1528.000000,-12213.000000,6578.000000,Neutral
Gyro,4.329681,-168.124374,-2.480782,-8.270984,Neutral
