Type,Time,x,y,z
Gyro,4.200867,-59.880154,59.667217,87.673912
Accel,4.221068,12085.000000,2356.000000,6520.000000
Gyro,4.224849,-60.580070,59.326538,88.771629
Accel,4.247654,18965.000000,12391.000000,5902.000000
Gyro,4.251352,-61.733307,57.388000,83.216362
Accel,4.277539,9835.000000,23435.000000,11490.000000
Gyro,4.277539,-63.260109,53.920376,75.245415
Accel,4.295683,8828.000000,22459.000000,11910.000000
Gyro,4.299618,-68.441544,43.424061,60.004658
Accel,4.324963,-27802.000000,20829.000000,-25653.000000
Gyro,4.329134,-78.062836,40.147549,47.734482
Accel,4.347817,21349.000000,5532.000000,22583.000000
Gyro,4.351527,-85.527481,44.182213,29.908863
Accel,4.376426,20042.000000,20308.000000,-24330.000000
Gyro,4.380763,-93.640518,50.962555,14.338610
Accel,4.395339,2093.000000,-30726.000000,-4454.000000
Gyro,4.399432,-101.993401,56.605244,-13.080325
Accel,4.424324,-10106.000000,-28643.000000,18148.000000
Gyro,4.424324,-111.204063,49.766975,-22.939119
Accel,4.443511,-8718.000000,18616.000000,-6860.000000
Gyro,4.447978,-104.452103,44.277451,-23.685530
Accel,4.473344,10381.000000,-29712.000000,-1962.000000
Gyro,4.479962,-93.528053,46.139130,-15.622521
Accel,4.494998,8755.000000,31477.000000,4314.000000
Gyro,4.499358,-90.033875,46.370735,-3.089357
Accel,4.522542,5790.000000,11890.000000,5643.000000
Gyro,4.526633,-88.444191,44.749413,1.238676
Accel,4.544495,7964.000000,5828.000000,3827.000000
Gyro,4.548115,-88.275780,43.772968,8.082940
Accel,4.573493,7325.000000,-390.000000,-316.000000
Gyro,4.573493,-88.335220,43.502090,12.667072
Accel,4.59471,5654.000000,-3013.000000,-1017.000000
Gyro,4.599171,-88.501221,44.135902,17.629017
Accel,4.6258,2142.000000,1463.000000,-4354.000000
Gyro,4.6258,-87.529602,45.661804,18.989805
Accel,4.646522,-2103.000000,3473.000000,-6728.000000
Gyro,4.650515,-85.199959,48.668663,21.255630
Accel,4.671591,-4473.000000,5879.000000,-5211.000000
Gyro,4.674994,-81.404449,49.851830,24.948721
Accel,4.696374,-6046.000000,4927.000000,-4569.000000
Gyro,4.700217,-78.345741,50.057743,31.512943
Accel,4.721388,-10647.000000,5328.000000,-7558.000000
Gyro,4.725495,-72.261971,49.564949,37.432587
Accel,4.753263,-9676.000000,10162.000000,-6526.000000
Gyro,4.75705,-67.019493,48.372261,48.461708
Accel,4.771524,-3783.000000,6978.000000,-2688.000000
Gyro,4.7753,-58.571720,47.029896,56.484753
Accel,4.797229,-3857.000000,2723.000000,-3242.000000
Gyro,4.801457,-53.363216,44.144276,68.083916
Accel,4.826097,2942.000000,6177.000000,-4145.000000
Gyro,4.826097,-45.151962,42.716797,74.812790
Accel,4.845227,2435.000000,2961.000000,396.000000
Gyro,4.849434,-39.925880,41.699673,85.031693
Accel,4.870997,8659.000000,3679.000000,6410.000000
Gyro,4.874683,-36.049862,139.457397,90.876694
Accel,4.899414,4785.000000,654.000000,8014.000000
Gyro,4.903191,-33.721809,140.035995,95.193245
Accel,4.920708,-9540.000000,-19311.000000,10060.000000
Gyro,4.924838,-30.120371,138.765076,99.985725
Accel,4.946074,-3783.000000,-11772.000000,24110.000000
Gyro,4.949794,-30.886250,136.061279,108.995842
Accel,4.971022,21106.000000,5207.000000,32295.000000
Gyro,4.974587,-36.367939,134.631943,107.613144
Accel,4.996337,20744.000000,5175.000000,24737.000000
Gyro,5.00026,-36.996742,132.799652,99.669762
Accel,5.021297,20447.000000,4078.000000,6415.000000
Gyro,5.027101,-40.336155,131.250153,98.844154
Accel,5.045529,20180.000000,7302.000000,13434.000000
Gyro,5.049401,-60.117218,129.813843,96.340477
Accel,5.071184,7476.000000,-9478.000000,25545.000000
Gyro,5.074582,-88.707245,55.352139,86.576843
Accel,5.099851,772.000000,-31641.000000,29205.000000
Gyro,5.099851,-112.431381,68.021385,70.683540
Accel,5.128482,1700.000000,-29912.000000,24657.000000
Gyro,5.128482,-147.209732,76.675934,50.650047
Accel,5.14361,-2114.000000,-10752.000000,22665.000000
Gyro,5.150853,-145.505157,78.009979,-7.216833
Accel,5.171777,4076.000000,-805.000000,12594.000000
Gyro,5.175911,-136.594223,76.116333,-18.733829
Accel,5.195601,-780.000000,1522.000000,5890.000000
Gyro,5.200326,-128.348373,76.309990,-24.174685
Accel,5.22514,-5370.000000,8358.000000,5101.000000
Gyro,5.233712,-115.061905,78.421211,-32.483929
Accel,5.244797,-5194.000000,10817.000000,9012.000000
Gyro,5.248619,-110.474617,81.086700,-46.885624
Accel,5.270617,-2134.000000,9045.000000,10139.000000
Gyro,5.274404,-107.813454,81.855392,-51.154179
Accel,5.296287,-6861.000000,6529.000000,7596.000000
Gyro,5.299997,-105.276649,81.453445,-63.382320
Accel,5.322299,-11185.000000,2869.000000,5998.000000
Gyro,5.326553,-103.681541,80.307739,-77.363350
Accel,5.345634,-12146.000000,733.000000,7045.000000
Gyro,5.349281,-105.329659,104.142807,-90.657150
Accel,5.372997,-15473.000000,-9723.000000,8182.000000
Gyro,5.37666,-111.296173,107.975784,-92.887321
Accel,5.394684,-12034.000000,-8436.000000,9608.000000
Gyro,5.398417,-115.848724,112.586075,-91.009499
Accel,5.422704,-8680.000000,-10.000000,9624.000000
Gyro,5.426727,-118.302750,65.269638,-89.168327
Accel,5.445069,-7988.000000,2701.000000,8496.000000
Gyro,5.449269,-119.232208,64.384613,-87.947243
Accel,5.474205,-6340.000000,4323.000000,8458.000000
Gyro,5.478194,-122.360077,64.545006,-87.121109
Accel,5.496708,-6554.000000,5004.000000,8573.000000
Gyro,5.501116,-124.937019,64.854836,-84.850044
Accel,5.523061,-7534.000000,5721.000000,8696.000000
Gyro,5.526985,-128.172852,65.262665,-82.946732
Accel,5.545413,-8738.000000,4527.000000,8603.000000
Gyro,5.550197,-129.758499,66.015388,-80.440109
Accel,5.572171,-9422.000000,3394.000000,8167.000000
Gyro,5.576076,-131.962097,66.256378,-79.479576
Accel,5.597661,-9234.000000,1682.000000,7434.000000
Gyro,5.601393,-133.752777,65.937576,-79.135216
Accel,5.620336,-8252.000000,2106.000000,7289.000000
Gyro,5.624424,-135.239151,65.797882,-78.977753
Accel,5.64539,-7902.000000,3052.000000,7260.000000
Gyro,5.649634,-135.479675,65.901802,-79.064507
Accel,5.6714,-6873.000000,3398.000000,6960.000000
Gyro,5.675163,-136.627045,66.172333,-79.227104
Accel,5.695145,-7656.000000,3132.000000,6359.000000
Gyro,5.698996,-137.900085,66.625809,-79.342484
Accel,5.720076,-7502.000000,3438.000000,6413.000000
Gyro,5.724031,-141.419296,66.928925,-79.534836
Accel,5.745154,-7186.000000,3751.000000,6603.000000
Gyro,5.749008,-144.956818,67.387535,-79.183647
Accel,5.773218,-7955.000000,4287.000000,6565.000000
Gyro,5.77698,-151.401688,67.766838,-78.514244
Accel,5.794861,-7907.000000,4438.000000,6757.000000
Gyro,5.798566,-157.373871,68.508904,-77.503128
Accel,5.822743,-7660.000000,4264.000000,7506.000000
Gyro,5.826669,-167.410950,69.096748,-76.656387
Accel,5.845272,-7584.000000,5034.000000,8177.000000
Gyro,5.850018,-172.267670,69.853966,-75.547607
Accel,5.871384,-8300.000000,4699.000000,7907.000000
Gyro,5.874682,175.939087,70.181786,-75.312370
Accel,5.896068,-9150.000000,2301.000000,7164.000000
Gyro,5.900116,162.126846,70.435501,-75.996941
Accel,5.92328,-8318.000000,1063.000000,6987.000000
Gyro,5.927637,145.093430,70.390984,-76.637794
Accel,5.945884,-8837.000000,2149.000000,6757.000000
