Type,Time,x,y,z,Action
Gyro,2.492582,-88.199348,-28.281425,6.477275,Crouch
Accel,2.492582,-26196.000000,-15782.000000,6594.000000,Crouch
Gyro,2.492582,-102.161095,-23.648937,16.214033,Crouch
Accel,2.492582,-27253.000000,-22324.000000,914.000000,Crouch
Gyro,2.492582,-113.087097,-19.671341,22.485985,Crouch
Accel,2.506355,-27887.000000,-19877.000000,4589.000000,Crouch
Gyro,2.506355,-117.005463,-17.334806,22.236414,Crouch
Accel,2.547936,-27773.000000,-1554.000000,10906.000000,Neutral
Gyro,2.547936,-121.647881,-17.750044,16.642509,Neutral
Accel,2.576454,-26835.000000,-6510.000000,6585.000000,Neutral
Gyro,2.576454,-122.929390,-20.976959,7.598702,Neutral
Accel,2.587196,-26077.000000,-10775.000000,3774.000000,Neutral
Gyro,2.587196,-122.441956,-24.102129,7.248987,Neutral
Accel,2.614907,-25294.000000,-17870.000000,2209.000000,Neutral
Gyro,2.614907,-120.279739,-27.141514,10.803078,Neutral
Accel,2.631457,-24993.000000,-23676.000000,-860.000000,Neutral
Gyro,2.668371,-113.666977,-28.328060,13.204218,Neutral
Accel,2.668371,-24331.000000,-20957.000000,-1861.000000,Neutral
Gyro,2.668371,-107.232986,-30.993572,12.760225,Neutral
Accel,2.691659,-23710.000000,-15666.000000,-3742.000000,Neutral
Gyro,2.691659,-95.226784,-33.565964,9.099196,Neutral
Accel,2.714274,-22933.000000,-13027.000000,-4191.000000,Neutral
Gyro,2.714274,-86.321915,-36.888329,1.072562,Neutral
Accel,2.731148,-22730.000000,-5367.000000,-2946.000000,Neutral
Gyro,2.731148,-72.129295,-37.782143,-4.732635,Neutral
Accel,2.763608,-22941.000000,2860.000000,-1892.000000,Neutral
Gyro,2.763608,-62.240501,-36.857086,-13.824538,Neutral
Accel,2.779533,-23380.000000,11539.000000,962.000000,Neutral
Gyro,2.795528,-49.183418,-34.959476,-19.523731,Neutral
Accel,2.811532,-20222.000000,19113.000000,3676.000000,Neutral
Gyro,2.811532,-42.288437,-31.399384,-25.706890,Neutral
Accel,2.827782,-15408.000000,23036.000000,7302.000000,Neutral
Gyro,2.849773,-33.258495,-29.620506,-28.231247,Neutral
Accel,2.88776,-13664.000000,24529.000000,9320.000000,Neutral
Gyro,2.88776,-27.782314,-27.430836,-29.805155,Neutral
Accel,2.88776,-9466.000000,24071.000000,10478.000000,Neutral
Gyro,2.88776,-19.936510,-26.271467,-29.415785,Neutral
Accel,2.91014,-7136.000000,23920.000000,10572.000000,Neutral
Gyro,2.91014,-14.876517,-24.937170,-27.162340,Neutral
Accel,2.930748,-3198.000000,23099.000000,10483.000000,Neutral
Gyro,2.930748,-7.819663,-24.085325,-25.095800,Neutral
Accel,2.965747,-1387.000000,21868.000000,10145.000000,Neutral
Gyro,2.965747,-4.047763,-22.752739,-21.791908,Neutral
